Property ID,Property Name,Address 1,Primary Property Type - Self Selected,Year Built,ENERGY STAR Score,Site EUI (kBtu/ft²),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Latitude,Longitude,Fine_2024-2029,Fine_2030-2034,Fine_2035-2039
3109688,Highbridge 1430 Plimpton Ave.,1430 Plimpton Ave.,Multifamily Housing,2003,64,77.3,329.8,70775.0,40.843627,-73.922243,0.0,24908.345704600004,37321.8897435
3109695,Highbridge 1450 Jesup Ave.,1450 Jesup Ave.,Multifamily Housing,2006,73,61.9,222.4,55729.0,40.842412,-73.919845,0.0,9619.888040571996,19394.446793576
3109780,Highbridge 1510 Jesup Ave.,1510 Jesup Ave.,Multifamily Housing,2005,8,124.3,453.8,61901.0,40.843696,-73.918867,9639.492865547998,66099.42467802801,76956.51813690401
3109807,Highbridge 1530 Jesup Ave.,1530 Jesup Ave.,Multifamily Housing,2007,61,75.4,419.2,91800.0,40.843962,-73.918661,0.0,30010.2289416,46111.44183840001
3110858,DEPM 1956 - 1001 Fifth Ave,1001 Fifth Avenue,Multifamily Housing,1978,30,94.4,668.3,113439.0,40.778493,-73.962622,0.0,77361.01653206401,97257.590495028
3111572,BRG - 3715 Kings Highway,3715 Kings Highway,Multifamily Housing,1938,89,62.8,306.9,84600.0,40.622174,-73.938542,0.0,6371.510255999997,21209.882925600003
3111579,Island Condo Management Corp - 2 Elmwood Park Drive,2 Elmwood Park Drive,Multifamily Housing,1983,89,52.5,636.8,195678.0,40.581202,-74.162664,0.0,0.0,29479.73681167201
3111724,DEPM 2820 - 408 East 79th St,408 East 79th Street,Multifamily Housing,2005,18,83.5,620,112398.0,40.772138,-73.952224,0.0,65350.276113408,85064.264426856
3112168,Pencil - 449 Troutman St.,449 Troutman St.,Multifamily Housing,1931,15,75.2,247.3,52388.0,40.7079,-73.921529,0.0,19289.632297488,28478.198106176005
3112388,Nevei Bais Inc -  300 Wyckoff Ave.,300 Wyckoff Ave.,Office,1931,Not Available,30.8,166.6,64000.0,40.699397,-73.910817,0.0,0.0,16307.86432
3112491,New York Hotel - 515 West 42nd St.,515 West 42nd St.,Hotel,1963,87,79.1,606.6,122050.0,40.759961,-73.99625,0.0,36615.75280440002,76215.42062380002
3112708,Elatos Realty - 38 Bay 26th st.,38 Bay 26th st.,Multifamily Housing,1934,15,104.3,301.6,50400.0,40.602958,-73.997612,0.0,35625.06440639999,44464.945996799994
3115691,BRG - 33-35 76th st,33-35 76th st.,Multifamily Housing,1951,92,69.8,769.7,190666.0,40.754272,-73.890809,0.0,35271.344523856,68713.10768487201
